Tracked Entity Instance ID,Attribute,Value
JQHWlHZ6Yqr,ENRjVGxVL6l,b'Kiconco'
JQHWlHZ6Yqr,Gy1jHsTp9P6,b'40'
eJSsCbgWtLo,Ewi7FUfcHAD,b'695456368b'
eJSsCbgWtLo,GnL13HAVFOm,b'Female'
eJSsCbgWtLo,ZkNZOxS24k7,b'2418/52'
eJSsCbgWtLo,jWjSY7cktaQ,b'Caci'
eJSsCbgWtLo,sB1IHYu2xQT,b'Ocan'
eJSsCbgWtLo,ENRjVGxVL6l,b'Kobusinge'
eJSsCbgWtLo,Gy1jHsTp9P6,b'41'
tkGrNiSv1qx,Ewi7FUfcHAD,b'340098054s'
tkGrNiSv1qx,GnL13HAVFOm,b'Male'
tkGrNiSv1qx,ZkNZOxS24k7,b'7939/13'
tkGrNiSv1qx,jWjSY7cktaQ,b'Cadis'
tkGrNiSv1qx,sB1IHYu2xQT,b'Naigaga'
tkGrNiSv1qx,ENRjVGxVL6l,b'Katongole'
tkGrNiSv1qx,Gy1jHsTp9P6,b'56'
qLQF7SVk8ij,Ewi7FUfcHAD,b'475360763u'
qLQF7SVk8ij,GnL13HAVFOm,b'Female'
qLQF7SVk8ij,ZkNZOxS24k7,b'7854/21'
qLQF7SVk8ij,jWjSY7cktaQ,b'Eadburt'
qLQF7SVk8ij,sB1IHYu2xQT,b'Lukwago'
qLQF7SVk8ij,ENRjVGxVL6l,b'Mudondo'
qLQF7SVk8ij,Gy1jHsTp9P6,b'24'
knEjbJAJgF7,Ewi7FUfcHAD,b'822520522o'
knEjbJAJgF7,GnL13HAVFOm,b'Female'
knEjbJAJgF7,ZkNZOxS24k7,b'7262/86'
knEjbJAJgF7,jWjSY7cktaQ,b'Zaahid'
knEjbJAJgF7,sB1IHYu2xQT,b'Kiconco'
knEjbJAJgF7,ENRjVGxVL6l,b'Kirabo'
knEjbJAJgF7,Gy1jHsTp9P6,b'55'
b6Wr6C6yA7y,Ewi7FUfcHAD,b'900475091w'
b6Wr6C6yA7y,GnL13HAVFOm,b'Male'
b6Wr6C6yA7y,ZkNZOxS24k7,b'3625/10'
b6Wr6C6yA7y,jWjSY7cktaQ,b'Saagar'
b6Wr6C6yA7y,sB1IHYu2xQT,b'Kagoya'
b6Wr6C6yA7y,ENRjVGxVL6l,b'Namukasa'
b6Wr6C6yA7y,Gy1jHsTp9P6,b'57'
YzrZM7p3uU3,Ewi7FUfcHAD,b'323232625e'
YzrZM7p3uU3,GnL13HAVFOm,b'Female'
YzrZM7p3uU3,ZkNZOxS24k7,b'5247/79'
YzrZM7p3uU3,jWjSY7cktaQ,b'Saalima'
YzrZM7p3uU3,sB1IHYu2xQT,b'Namata'
YzrZM7p3uU3,ENRjVGxVL6l,b'Nantale'
YzrZM7p3uU3,Gy1jHsTp9P6,b'36'
xauqFo7VjHZ,Ewi7FUfcHAD,b'545846880a'
xauqFo7VjHZ,GnL13HAVFOm,b'Male'
xauqFo7VjHZ,ZkNZOxS24k7,b'5354/15'
xauqFo7VjHZ,jWjSY7cktaQ,b'Yadnysena'
xauqFo7VjHZ,sB1IHYu2xQT,b'Nabwire'
xauqFo7VjHZ,ENRjVGxVL6l,b'Turyasingura'
xauqFo7VjHZ,Gy1jHsTp9P6,b'32'
OamiAwtEXSl,Ewi7FUfcHAD,b'906709666l'
OamiAwtEXSl,GnL13HAVFOm,b'Female'
OamiAwtEXSl,ZkNZOxS24k7,b'7218/31'
OamiAwtEXSl,jWjSY7cktaQ,b'Caddarik'
OamiAwtEXSl,sB1IHYu2xQT,b'Kebirungi'
OamiAwtEXSl,ENRjVGxVL6l,b'Nanfuka'
OamiAwtEXSl,Gy1jHsTp9P6,b'60'
DDIJGeXvmpw,Ewi7FUfcHAD,b'110487692b'
DDIJGeXvmpw,GnL13HAVFOm,b'Female'
DDIJGeXvmpw,ZkNZOxS24k7,b'6627/14'
DDIJGeXvmpw,jWjSY7cktaQ,b'Kizza'
DDIJGeXvmpw,sB1IHYu2xQT,b'Nanyonjo'
DDIJGeXvmpw,ENRjVGxVL6l,b'Nabukeera'
DDIJGeXvmpw,Gy1jHsTp9P6,b'40'
YxdZ8EXU6Oq,Ewi7FUfcHAD,b'827759682y'
YxdZ8EXU6Oq,GnL13HAVFOm,b'Female'
YxdZ8EXU6Oq,ZkNZOxS24k7,b'6791/53'
YxdZ8EXU6Oq,jWjSY7cktaQ,b'Zachary'
YxdZ8EXU6Oq,sB1IHYu2xQT,b'Lakot'
YxdZ8EXU6Oq,ENRjVGxVL6l,b'Awino'
YxdZ8EXU6Oq,Gy1jHsTp9P6,b'20'
jMAzhtem3aD,Ewi7FUfcHAD,b'521719570f'
jMAzhtem3aD,GnL13HAVFOm,b'Female'
jMAzhtem3aD,ZkNZOxS24k7,b'9350/29'
jMAzhtem3aD,jWjSY7cktaQ,b'Dacey'
jMAzhtem3aD,sB1IHYu2xQT,b'Agaba'
jMAzhtem3aD,ENRjVGxVL6l,b'Kemigisha'
jMAzhtem3aD,Gy1jHsTp9P6,b'43'
PhjDAOafCJB,Ewi7FUfcHAD,b'211235197o'
PhjDAOafCJB,GnL13HAVFOm,b'Female'
PhjDAOafCJB,ZkNZOxS24k7,b'7227/78'
PhjDAOafCJB,jWjSY7cktaQ,b'Yaaja'
PhjDAOafCJB,sB1IHYu2xQT,b'Opiyo'
PhjDAOafCJB,ENRjVGxVL6l,b'Waiswa'
PhjDAOafCJB,Gy1jHsTp9P6,b'20'
FYLYVIlvN8C,Ewi7FUfcHAD,b'574084688g'
FYLYVIlvN8C,GnL13HAVFOm,b'Male'
FYLYVIlvN8C,ZkNZOxS24k7,b'2002/22'
FYLYVIlvN8C,jWjSY7cktaQ,b'Cadence'
FYLYVIlvN8C,sB1IHYu2xQT,b'Kyomuhendo'
FYLYVIlvN8C,ENRjVGxVL6l,b'Twikirize'
FYLYVIlvN8C,Gy1jHsTp9P6,b'35'
KRYheGG150Y,Ewi7FUfcHAD,b'819232172p'
KRYheGG150Y,GnL13HAVFOm,b'Female'
KRYheGG150Y,ZkNZOxS24k7,b'1984/91'
KRYheGG150Y,jWjSY7cktaQ,b'Baasit'
KRYheGG150Y,sB1IHYu2xQT,b'Isingoma'
KRYheGG150Y,ENRjVGxVL6l,b'Nabukeera'
KRYheGG150Y,Gy1jHsTp9P6,b'38'
C7HgMBrvOh2,Ewi7FUfcHAD,b'264688427p'
C7HgMBrvOh2,GnL13HAVFOm,b'Male'
C7HgMBrvOh2,ZkNZOxS24k7,b'7833/23'
C7HgMBrvOh2,jWjSY7cktaQ,b'Cadman'
C7HgMBrvOh2,sB1IHYu2xQT,b'Katusiime'
C7HgMBrvOh2,ENRjVGxVL6l,b'Matovu'
C7HgMBrvOh2,Gy1jHsTp9P6,b'64'
cU4jAtIwCuV,Ewi7FUfcHAD,b'857945737e'
cU4jAtIwCuV,GnL13HAVFOm,b'Male'
cU4jAtIwCuV,ZkNZOxS24k7,b'8108/54'
cU4jAtIwCuV,jWjSY7cktaQ,b'Taarika'
cU4jAtIwCuV,sB1IHYu2xQT,b'Kabagambe'
cU4jAtIwCuV,ENRjVGxVL6l,b'Kusemererwa'
cU4jAtIwCuV,Gy1jHsTp9P6,b'20'
w0VDPH9VWVm,Ewi7FUfcHAD,b'966904988e'
w0VDPH9VWVm,GnL13HAVFOm,b'Female'
w0VDPH9VWVm,ZkNZOxS24k7,b'9969/25'
w0VDPH9VWVm,jWjSY7cktaQ,b'Eadward'
w0VDPH9VWVm,sB1IHYu2xQT,b'Ouma'
w0VDPH9VWVm,ENRjVGxVL6l,b'Otim'
w0VDPH9VWVm,Gy1jHsTp9P6,b'22'
J6FKnEB6X4I,Ewi7FUfcHAD,b'892118370g'
J6FKnEB6X4I,GnL13HAVFOm,b'Female'
J6FKnEB6X4I,ZkNZOxS24k7,b'5090/64'
J6FKnEB6X4I,jWjSY7cktaQ,b'Dad'
J6FKnEB6X4I,sB1IHYu2xQT,b'Logose'
J6FKnEB6X4I,ENRjVGxVL6l,b'Nakato'
J6FKnEB6X4I,Gy1jHsTp9P6,b'40'
oDmWsNJog0k,Ewi7FUfcHAD,b'380669112y'
oDmWsNJog0k,GnL13HAVFOm,b'Female'
oDmWsNJog0k,ZkNZOxS24k7,b'3826/43'
oDmWsNJog0k,jWjSY7cktaQ,b'Faarooq'
oDmWsNJog0k,sB1IHYu2xQT,b'Muhwezi'
oDmWsNJog0k,ENRjVGxVL6l,b'Orishaba'
oDmWsNJog0k,Gy1jHsTp9P6,b'26'
quYWUgo47tE,Ewi7FUfcHAD,b'947453014i'
quYWUgo47tE,GnL13HAVFOm,b'Female'
quYWUgo47tE,ZkNZOxS24k7,b'8316/11'
quYWUgo47tE,jWjSY7cktaQ,b'Fadeaushka'
quYWUgo47tE,sB1IHYu2xQT,b'Nakintu'
quYWUgo47tE,ENRjVGxVL6l,b'Kusemererwa'
quYWUgo47tE,Gy1jHsTp9P6,b'31'
iJohiwKOSPp,Ewi7FUfcHAD,b'414664753t'
iJohiwKOSPp,GnL13HAVFOm,b'Male'
iJohiwKOSPp,ZkNZOxS24k7,b'6692/97'
iJohiwKOSPp,jWjSY7cktaQ,b'Saadia'
iJohiwKOSPp,sB1IHYu2xQT,b'Sande'
iJohiwKOSPp,ENRjVGxVL6l,b'Nantale'
iJohiwKOSPp,Gy1jHsTp9P6,b'59'
GrRDdg6IiWN,Ewi7FUfcHAD,b'575365839t'
GrRDdg6IiWN,GnL13HAVFOm,b'Male'
GrRDdg6IiWN,ZkNZOxS24k7,b'4265/50'
GrRDdg6IiWN,jWjSY7cktaQ,b'Acanit'
GrRDdg6IiWN,sB1IHYu2xQT,b'Mayanja'
GrRDdg6IiWN,ENRjVGxVL6l,b'Namaganda'
GrRDdg6IiWN,Gy1jHsTp9P6,b'50'
puofQJG4j4k,Ewi7FUfcHAD,b'261235138y'
puofQJG4j4k,GnL13HAVFOm,b'Male'
puofQJG4j4k,ZkNZOxS24k7,b'3974/84'
puofQJG4j4k,jWjSY7cktaQ,b'Cadhla'
puofQJG4j4k,sB1IHYu2xQT,b'Kobusinge'
puofQJG4j4k,ENRjVGxVL6l,b'Ayebazibwe'
puofQJG4j4k,Gy1jHsTp9P6,b'57'
Tn3mPEL6XkU,Ewi7FUfcHAD,b'556055220e'
Tn3mPEL6XkU,GnL13HAVFOm,b'Male'
Tn3mPEL6XkU,ZkNZOxS24k7,b'5624/83'
Tn3mPEL6XkU,jWjSY7cktaQ,b'Ealaot Wadass'
Tn3mPEL6XkU,sB1IHYu2xQT,b'Ejang'
Tn3mPEL6XkU,ENRjVGxVL6l,b'Mutebi'
Tn3mPEL6XkU,Gy1jHsTp9P6,b'47'
f4Wtr6mBUrV,Ewi7FUfcHAD,b'903587282b'
f4Wtr6mBUrV,GnL13HAVFOm,b'Male'
f4Wtr6mBUrV,ZkNZOxS24k7,b'8899/51'
f4Wtr6mBUrV,jWjSY7cktaQ,b'Yadu'
f4Wtr6mBUrV,sB1IHYu2xQT,b'Nassali'
f4Wtr6mBUrV,ENRjVGxVL6l,b'Nyakato'
f4Wtr6mBUrV,Gy1jHsTp9P6,b'39'
tdkfhr7dXwJ,Ewi7FUfcHAD,b'304492275d'
tdkfhr7dXwJ,GnL13HAVFOm,b'Male'
tdkfhr7dXwJ,ZkNZOxS24k7,b'8358/65'
tdkfhr7dXwJ,jWjSY7cktaQ,b'Fabrizio'
tdkfhr7dXwJ,sB1IHYu2xQT,b'Wandera'
tdkfhr7dXwJ,ENRjVGxVL6l,b'Mubiru'
tdkfhr7dXwJ,Gy1jHsTp9P6,b'42'
T1f3mgp9uMp,Ewi7FUfcHAD,b'938162285a'
T1f3mgp9uMp,GnL13HAVFOm,b'Female'
T1f3mgp9uMp,ZkNZOxS24k7,b'4842/99'
T1f3mgp9uMp,jWjSY7cktaQ,b'Cadell'
T1f3mgp9uMp,sB1IHYu2xQT,b'Bwire'
T1f3mgp9uMp,ENRjVGxVL6l,b'Nanfuka'
T1f3mgp9uMp,Gy1jHsTp9P6,b'21'
y6sHCMRlYEl,Ewi7FUfcHAD,b'372480930p'
y6sHCMRlYEl,GnL13HAVFOm,b'Male'
y6sHCMRlYEl,ZkNZOxS24k7,b'8256/71'
y6sHCMRlYEl,jWjSY7cktaQ,b'Zaccheus'
y6sHCMRlYEl,sB1IHYu2xQT,b'Nalwoga'
y6sHCMRlYEl,ENRjVGxVL6l,b'Namuli'
y6sHCMRlYEl,Gy1jHsTp9P6,b'56'
GkGzfZIJOTF,Ewi7FUfcHAD,b'863993800d'
GkGzfZIJOTF,GnL13HAVFOm,b'Male'
GkGzfZIJOTF,ZkNZOxS24k7,b'4509/49'
GkGzfZIJOTF,jWjSY7cktaQ,b'Baal-perazim'
GkGzfZIJOTF,sB1IHYu2xQT,b'Lubega'
GkGzfZIJOTF,ENRjVGxVL6l,b'Apiyo'
GkGzfZIJOTF,Gy1jHsTp9P6,b'21'
rqCGQAxziNU,Ewi7FUfcHAD,b'582231101k'
rqCGQAxziNU,GnL13HAVFOm,b'Female'
rqCGQAxziNU,ZkNZOxS24k7,b'8062/85'
rqCGQAxziNU,jWjSY7cktaQ,b'Tabinda'
rqCGQAxziNU,sB1IHYu2xQT,b'Nandutu'
rqCGQAxziNU,ENRjVGxVL6l,b'Namulondo'
rqCGQAxziNU,Gy1jHsTp9P6,b'23'
hwC4RFKeuSJ,Ewi7FUfcHAD,b'777309411t'
hwC4RFKeuSJ,GnL13HAVFOm,b'Male'
hwC4RFKeuSJ,ZkNZOxS24k7,b'2922/59'
hwC4RFKeuSJ,jWjSY7cktaQ,b'Cadee'
hwC4RFKeuSJ,sB1IHYu2xQT,b'Tumuhairwe'
hwC4RFKeuSJ,ENRjVGxVL6l,b'Kiwanuka'
hwC4RFKeuSJ,Gy1jHsTp9P6,b'61'
v2ZfXs0mHcs,Ewi7FUfcHAD,b'147256828h'
v2ZfXs0mHcs,GnL13HAVFOm,b'Female'
v2ZfXs0mHcs,ZkNZOxS24k7,b'1799/22'
v2ZfXs0mHcs,jWjSY7cktaQ,b'Daaruk'
v2ZfXs0mHcs,sB1IHYu2xQT,b'Okot'
v2ZfXs0mHcs,ENRjVGxVL6l,b'Mirembe'
v2ZfXs0mHcs,Gy1jHsTp9P6,b'44'
yJKG7aTvIIw,Ewi7FUfcHAD,b'893024941f'
yJKG7aTvIIw,GnL13HAVFOm,b'Female'
yJKG7aTvIIw,ZkNZOxS24k7,b'4340/52'
yJKG7aTvIIw,jWjSY7cktaQ,b'Dabbasheth'
yJKG7aTvIIw,sB1IHYu2xQT,b'Kagoya'
yJKG7aTvIIw,ENRjVGxVL6l,b'Nakimuli'
yJKG7aTvIIw,Gy1jHsTp9P6,b'33'
T5LBcTzpeoO,Ewi7FUfcHAD,b'418784367m'
T5LBcTzpeoO,GnL13HAVFOm,b'Male'
T5LBcTzpeoO,ZkNZOxS24k7,b'8066/14'
T5LBcTzpeoO,jWjSY7cktaQ,b'Tab'
T5LBcTzpeoO,sB1IHYu2xQT,b'Kemigisha'
T5LBcTzpeoO,ENRjVGxVL6l,b'Atim'
T5LBcTzpeoO,Gy1jHsTp9P6,b'30'
dY5Lt4VsjUD,Ewi7FUfcHAD,b'150588704v'
dY5Lt4VsjUD,GnL13HAVFOm,b'Female'
dY5Lt4VsjUD,ZkNZOxS24k7,b'3393/50'
dY5Lt4VsjUD,jWjSY7cktaQ,b'Taarikaa'
dY5Lt4VsjUD,sB1IHYu2xQT,b'Acan'
dY5Lt4VsjUD,ENRjVGxVL6l,b'Lakot'
dY5Lt4VsjUD,Gy1jHsTp9P6,b'24'
D6x5B7iFMr5,Ewi7FUfcHAD,b'306780033r'
D6x5B7iFMr5,GnL13HAVFOm,b'Male'
D6x5B7iFMr5,ZkNZOxS24k7,b'6280/85'
D6x5B7iFMr5,jWjSY7cktaQ,b'Dacian'
D6x5B7iFMr5,sB1IHYu2xQT,b'Ayo'
D6x5B7iFMr5,ENRjVGxVL6l,b'Ayikoru'
D6x5B7iFMr5,Gy1jHsTp9P6,b'62'
b7z0FSXiSEr,Ewi7FUfcHAD,b'575501438k'
b7z0FSXiSEr,GnL13HAVFOm,b'Female'
b7z0FSXiSEr,ZkNZOxS24k7,b'2527/91'
b7z0FSXiSEr,jWjSY7cktaQ,b'Yadgar'
b7z0FSXiSEr,sB1IHYu2xQT,b'Kemigisa'
b7z0FSXiSEr,ENRjVGxVL6l,b'Kasande'
b7z0FSXiSEr,Gy1jHsTp9P6,b'59'
Ctc43lDEsqA,Ewi7FUfcHAD,b'483700218r'
Ctc43lDEsqA,GnL13HAVFOm,b'Female'
Ctc43lDEsqA,ZkNZOxS24k7,b'7889/85'
Ctc43lDEsqA,jWjSY7cktaQ,b'Zachari'
Ctc43lDEsqA,sB1IHYu2xQT,b'Tugume'
Ctc43lDEsqA,ENRjVGxVL6l,b'Ithungu'
Ctc43lDEsqA,Gy1jHsTp9P6,b'65'
CEIqpXAAw7F,Ewi7FUfcHAD,b'498467681h'
CEIqpXAAw7F,GnL13HAVFOm,b'Female'
CEIqpXAAw7F,ZkNZOxS24k7,b'2956/19'
CEIqpXAAw7F,jWjSY7cktaQ,b'Eadlin'
CEIqpXAAw7F,sB1IHYu2xQT,b'Driciru'
CEIqpXAAw7F,ENRjVGxVL6l,b'Katusiime'
CEIqpXAAw7F,Gy1jHsTp9P6,b'62'
R7TOrucy3GN,Ewi7FUfcHAD,b'378468397s'
R7TOrucy3GN,GnL13HAVFOm,b'Female'
R7TOrucy3GN,ZkNZOxS24k7,b'3524/75'
R7TOrucy3GN,jWjSY7cktaQ,b'Dabhiti'
R7TOrucy3GN,sB1IHYu2xQT,b'Kakuru'
R7TOrucy3GN,ENRjVGxVL6l,b'Namusoke'
R7TOrucy3GN,Gy1jHsTp9P6,b'21'
UTYiH19oNL3,Ewi7FUfcHAD,b'919608418j'
UTYiH19oNL3,GnL13HAVFOm,b'Female'
UTYiH19oNL3,ZkNZOxS24k7,b'7516/74'
UTYiH19oNL3,jWjSY7cktaQ,b'Naari'
UTYiH19oNL3,sB1IHYu2xQT,b'Ahimbisibwe'
UTYiH19oNL3,ENRjVGxVL6l,b'Tushemerirwe'
UTYiH19oNL3,Gy1jHsTp9P6,b'46'
GgPOGhEthV3,Ewi7FUfcHAD,b'107275557d'
GgPOGhEthV3,GnL13HAVFOm,b'Female'
GgPOGhEthV3,ZkNZOxS24k7,b'1390/28'
GgPOGhEthV3,jWjSY7cktaQ,b'Naari'
GgPOGhEthV3,sB1IHYu2xQT,b'Kaahwa'
GgPOGhEthV3,ENRjVGxVL6l,b'Tumwesigye'
GgPOGhEthV3,Gy1jHsTp9P6,b'44'
OLOHFxftslV,Ewi7FUfcHAD,b'742196288m'
OLOHFxftslV,GnL13HAVFOm,b'Female'
OLOHFxftslV,ZkNZOxS24k7,b'4330/63'
OLOHFxftslV,jWjSY7cktaQ,b'Zabel'
OLOHFxftslV,sB1IHYu2xQT,b'Kyaligonza'
OLOHFxftslV,ENRjVGxVL6l,b'Kyaligonza'
OLOHFxftslV,Gy1jHsTp9P6,b'21'
n9BjFj1X63K,Ewi7FUfcHAD,b'252822141p'
n9BjFj1X63K,GnL13HAVFOm,b'Male'
n9BjFj1X63K,ZkNZOxS24k7,b'1712/52'
n9BjFj1X63K,jWjSY7cktaQ,b'Naamit'
n9BjFj1X63K,sB1IHYu2xQT,b'Tushemerirwe'
n9BjFj1X63K,ENRjVGxVL6l,b'Muhwezi'
n9BjFj1X63K,Gy1jHsTp9P6,b'30'
HQDytFdgmdZ,Ewi7FUfcHAD,b'325802399u'
HQDytFdgmdZ,GnL13HAVFOm,b'Male'
HQDytFdgmdZ,ZkNZOxS24k7,b'3728/12'
HQDytFdgmdZ,jWjSY7cktaQ,b'Naalyehe ya sidahi'
HQDytFdgmdZ,sB1IHYu2xQT,b'Muhindo'
HQDytFdgmdZ,ENRjVGxVL6l,b'Nalubega'
HQDytFdgmdZ,Gy1jHsTp9P6,b'32'
rVRIxsJQHR3,Ewi7FUfcHAD,b'486179879k'
rVRIxsJQHR3,GnL13HAVFOm,b'Male'
rVRIxsJQHR3,ZkNZOxS24k7,b'9024/53'
rVRIxsJQHR3,jWjSY7cktaQ,b'Tabesh / Tabish'
rVRIxsJQHR3,sB1IHYu2xQT,b'Aguti'
rVRIxsJQHR3,ENRjVGxVL6l,b'Ayebazibwe'
rVRIxsJQHR3,Gy1jHsTp9P6,b'27'
IKxeuhhSkMl,Ewi7FUfcHAD,b'291990851z'
IKxeuhhSkMl,GnL13HAVFOm,b'Female'
IKxeuhhSkMl,ZkNZOxS24k7,b'8883/44'
IKxeuhhSkMl,jWjSY7cktaQ,b'Naadir'
IKxeuhhSkMl,sB1IHYu2xQT,b'Aciro'
IKxeuhhSkMl,ENRjVGxVL6l,b'Nanyonga'
IKxeuhhSkMl,Gy1jHsTp9P6,b'37'
Z58zFnDNRsx,Ewi7FUfcHAD,b'291756096l'
Z58zFnDNRsx,GnL13HAVFOm,b'Female'
Z58zFnDNRsx,ZkNZOxS24k7,b'2454/96'
Z58zFnDNRsx,jWjSY7cktaQ,b'Cadhla'
Z58zFnDNRsx,sB1IHYu2xQT,b'Kakuru'
Z58zFnDNRsx,ENRjVGxVL6l,b'Akumu'
Z58zFnDNRsx,Gy1jHsTp9P6,b'62'
XR5GBK1AQ2z,Ewi7FUfcHAD,b'841920641a'
XR5GBK1AQ2z,GnL13HAVFOm,b'Female'
XR5GBK1AQ2z,ZkNZOxS24k7,b'9556/67'
XR5GBK1AQ2z,jWjSY7cktaQ,b'Yadhokshaja'
XR5GBK1AQ2z,sB1IHYu2xQT,b'Tushemerirwe'
XR5GBK1AQ2z,ENRjVGxVL6l,b'Natukunda'
XR5GBK1AQ2z,Gy1jHsTp9P6,b'59'
tpfG3xOmkVr,Ewi7FUfcHAD,b'745187545w'
tpfG3xOmkVr,GnL13HAVFOm,b'Female'
tpfG3xOmkVr,ZkNZOxS24k7,b'7829/20'
tpfG3xOmkVr,jWjSY7cktaQ,b'Taaraka'
tpfG3xOmkVr,sB1IHYu2xQT,b'Namuddu'
tpfG3xOmkVr,ENRjVGxVL6l,b'Komugisha'
tpfG3xOmkVr,Gy1jHsTp9P6,b'38'
oGlGKeMYkGN,Ewi7FUfcHAD,b'774562452c'
oGlGKeMYkGN,GnL13HAVFOm,b'Male'
oGlGKeMYkGN,ZkNZOxS24k7,b'2085/53'
oGlGKeMYkGN,jWjSY7cktaQ,b'Saaedah'
oGlGKeMYkGN,sB1IHYu2xQT,b'Chandiru'
oGlGKeMYkGN,ENRjVGxVL6l,b'Gumisiriza'
oGlGKeMYkGN,Gy1jHsTp9P6,b'60'
DGS0IyW0YSi,Ewi7FUfcHAD,b'757645072a'
DGS0IyW0YSi,GnL13HAVFOm,b'Female'
DGS0IyW0YSi,ZkNZOxS24k7,b'6313/91'
DGS0IyW0YSi,jWjSY7cktaQ,b'Dembe'
DGS0IyW0YSi,sB1IHYu2xQT,b'Mwanje'
DGS0IyW0YSi,ENRjVGxVL6l,b'Awor'
DGS0IyW0YSi,Gy1jHsTp9P6,b'38'
gKGCX424IBH,Ewi7FUfcHAD,b'840415454s'
gKGCX424IBH,GnL13HAVFOm,b'Female'
gKGCX424IBH,ZkNZOxS24k7,b'2519/96'
gKGCX424IBH,jWjSY7cktaQ,b'Zaanannim'
gKGCX424IBH,sB1IHYu2xQT,b'Turyahebwa'
gKGCX424IBH,ENRjVGxVL6l,b'Namono'
gKGCX424IBH,Gy1jHsTp9P6,b'54'
kFtQ4ZH36rb,Ewi7FUfcHAD,b'369237168v'
kFtQ4ZH36rb,GnL13HAVFOm,b'Female'
kFtQ4ZH36rb,ZkNZOxS24k7,b'2761/12'
kFtQ4ZH36rb,jWjSY7cktaQ,b'Yadavaprakasa'
kFtQ4ZH36rb,sB1IHYu2xQT,b'Kato'
kFtQ4ZH36rb,ENRjVGxVL6l,b'Mugisa'
kFtQ4ZH36rb,Gy1jHsTp9P6,b'63'
EBpPJDKS1dY,Ewi7FUfcHAD,b'908252736w'
EBpPJDKS1dY,GnL13HAVFOm,b'Female'
EBpPJDKS1dY,ZkNZOxS24k7,b'5031/43'
EBpPJDKS1dY,jWjSY7cktaQ,b'Naagarjun'
EBpPJDKS1dY,sB1IHYu2xQT,b'Alupo'
